"site.id","constituent","Water_Year","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"ORIZ02900","PT","2001",273,24744.6708378563,5562.17853236615,15623.9889349744,37304.7451568606,273,30021.6367674691,11318.7592637625,13748.3411392422,57398.1007610006,273,11540.6159740637,NA,NA,NA,273,17574.0528244325,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2002",365,30431.7164989329,5748.16282967102,20717.4829219839,43160.9500322699,365,36623.0379517833,11054.7715448692,19654.2837933984,62543.3165730367,365,14192.9854653454,NA,NA,NA,365,25119.80918655,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2003",365,28058.4742146177,4839.83841278947,19767.1899118753,38676.7540393438,365,32713.6610387574,6747.51340119237,21475.1274420466,47800.0694432993,365,23141.9940029818,NA,NA,NA,365,23533.3864963499,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2004",366,29157.1023709361,4391.41338560202,21497.5136558632,38668.6510623283,366,30746.4490688136,4735.70640746845,22509.3560101766,41024.5824530858,366,26859.8962757308,NA,NA,NA,366,27644.5764794174,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2005",365,29695.6447316309,4055.85518245327,22540.1180624879,38406.3027388102,365,29094.530711314,3879.71388585966,22231.8299366952,37410.4389533195,365,24840.1931099094,NA,NA,NA,365,24189.8777897219,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2006",365,26920.2374700828,3513.8386550868,20690.5410761771,34438.875221955,365,24840.0694070045,3565.7807575599,18584.6486951376,32530.6645633015,365,25939.9839095645,NA,NA,NA,365,25258.4511079523,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2007",365,29640.0332063924,3551.84016471133,23288.5538125635,37189.7112981684,365,29630.765447692,4650.27888351947,21561.5638310683,39740.9485703614,365,27022.959146787,NA,NA,NA,365,28688.3028821706,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2008",366,28921.2832481031,3267.40388314947,23046.3089342427,35836.5083150198,366,25303.7597983621,3668.85888548937,18875.0657371776,33223.5604061233,366,25021.0494766375,NA,NA,NA,366,25539.8130298406,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2009",365,29754.6010215269,3674.26790459362,23203.429731865,37582.3236849743,365,25733.3533653968,3782.6784010282,19116.027007573,33908.6911437013,365,37786.3160611197,NA,NA,NA,365,40691.4379776766,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2010",365,32109.9740279895,5143.74439716121,23208.2848845894,43314.4583294991,365,33376.0550284483,6119.69955371609,22986.2081361254,46885.8734468939,365,55162.0905491273,NA,NA,NA,365,57277.4439914935,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2011",365,28869.6302566162,3993.46206536971,21834.1489601204,37455.4206714756,365,27188.408324761,3932.74129492968,20295.3953219417,35676.0759625234,365,15907.4746033637,NA,NA,NA,365,18282.6278921796,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","PT","2012",366,29143.0456149015,4605.4734703236,21158.725360199,39162.2604089028,366,26001.3107599861,4111.8946557659,18873.3422043709,34947.334765123,366,9524.22493183126,NA,NA,NA,366,11358.3697161667,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
